product_id,product_name,category,subcategory,brand,price,cost,stock_quantity,profit_margin
1,Levi's Shoes Respond,Clothing,Shoes,Levi's,96.03,51.36,219,46.52
2,Nike Water Sports Western,Sports,Water Sports,Nike,204.95,136.97,385,33.17
3,Dell Headphones Total,Electronics,Headphones,Dell,980.46,439.55,372,55.17
4,Home Depot Bedding Cold,Home & Garden,Bedding,Home Depot,511.9,267.59,440,47.73
5,Sony Cameras Suggest,Electronics,Cameras,Sony,702.71,319.85,355,54.48
6,H&M Pants Federal,Clothing,Pants,H&M,177.86,82.39,392,53.68
7,Samsung Cameras Itself,Electronics,Cameras,Samsung,837.33,387.12,380,53.77
8,HarperCollins Educational Meet,Books,Educational,HarperCollins,47.22,27.3,91,42.19
9,Puma Fitness Avoid,Sports,Fitness,Puma,440.29,193.89,344,55.96
10,West Elm Bedding Race,Home & Garden,Bedding,West Elm,503.37,337.68,270,32.92
11,Gap Shirts Send,Clothing,Shirts,Gap,167.06,77.26,209,53.75
12,Random House Comics Quality,Books,Comics,Random House,24.56,16.89,104,31.23
13,Home Depot Furniture Order,Home & Garden,Furniture,Home Depot,234.47,134.01,220,42.85
14,Nikon Smartphones Practice,Electronics,Smartphones,Nikon,1080.65,526.53,277,51.28
15,Sony Headphones Personal,Electronics,Headphones,Sony,944.67,656.64,417,30.49
16,IKEA Decor Clear,Home & Garden,Decor,IKEA,468.24,241.01,179,48.53
17,Adidas Water Sports Majority,Sports,Water Sports,Adidas,155.46,96.26,493,38.08
18,Adidas Pants Great,Clothing,Pants,Adidas,224.47,124.3,111,44.63
19,Penguin Educational Congress,Books,Educational,Penguin,36.06,17.23,117,52.22
20,Sony Smartphones Direction,Electronics,Smartphones,Sony,1469.03,620.03,198,57.79
21,Pottery Barn Bedding Leg,Home & Garden,Bedding,Pottery Barn,573.07,326.79,295,42.98
22,Sony Smartphones We,Electronics,Smartphones,Sony,738.11,326.92,240,55.71
23,HP Laptops Born,Electronics,Laptops,HP,490.89,321.05,215,34.6
24,Adidas Water Sports Again,Sports,Water Sports,Adidas,85.93,40.16,303,53.26
25,Simon & Schuster Comics Understand,Books,Comics,Simon & Schuster,48.71,26.47,411,45.66
26,Samsung Headphones Across,Electronics,Headphones,Samsung,93.61,38.84,16,58.51
27,HarperCollins Educational Shake,Books,Educational,HarperCollins,23.05,14.25,463,38.18
28,Nike Dresses Choice,Clothing,Dresses,Nike,283.25,178.06,409,37.14
29,LG Headphones Should,Electronics,Headphones,LG,71.75,33.92,333,52.72
30,Adidas Shirts Style,Clothing,Shirts,Adidas,162.52,108.3,122,33.36
31,H&M Accessories Prevent,Clothing,Accessories,H&M,224.78,125.28,288,44.27
32,Reebok Fitness Strong,Sports,Fitness,Reebok,311.84,138.33,369,55.64
33,Sony Smartphones Hold,Electronics,Smartphones,Sony,990.08,628.67,51,36.5
34,Wayfair Furniture Trouble,Home & Garden,Furniture,Wayfair,333.34,194.47,352,41.66
35,Zara Accessories Position,Clothing,Accessories,Zara,25.17,16.35,367,35.04
36,Apple Cameras Put,Electronics,Cameras,Apple,559.91,345.35,201,38.32
37,Levi's Shoes Image,Clothing,Shoes,Levi's,99.76,62.43,281,37.42
38,Random House Comics Cut,Books,Comics,Random House,29.95,12.38,429,58.66
39,Penguin Comics Friend,Books,Comics,Penguin,38.2,17.88,146,53.19
40,Nike Fitness Back,Sports,Fitness,Nike,80.86,55.35,129,31.55
41,Wayfair Furniture Suddenly,Home & Garden,Furniture,Wayfair,363.95,167.66,349,53.93
42,Penguin Children Space,Books,Children,Penguin,27.7,15.18,417,45.2
43,Penguin Educational Operation,Books,Educational,Penguin,38.27,23.6,297,38.33
44,H&M Shirts Throw,Clothing,Shirts,H&M,271.3,178.74,156,34.12
45,Nikon Cameras Mention,Electronics,Cameras,Nikon,1647.7,723.69,244,56.08
46,Adidas Shirts Have,Clothing,Shirts,Adidas,134.38,67.81,301,49.54
47,Random House Fiction Local,Books,Fiction,Random House,24.05,15.66,239,34.89
48,West Elm Decor Around,Home & Garden,Decor,West Elm,79.21,35.63,335,55.02
49,Home Depot Decor Hit,Home & Garden,Decor,Home Depot,526.16,330.04,290,37.27
50,Pottery Barn Tools Democrat,Home & Garden,Tools,Pottery Barn,519.3,232.01,116,55.32
51,Adidas Outdoor Teacher,Sports,Outdoor,Adidas,88.99,46.49,19,47.76
52,Adidas Shirts Course,Clothing,Shirts,Adidas,161.74,65.94,58,59.23
53,Random House Fiction Analysis,Books,Fiction,Random House,30.97,14.52,404,53.12
54,Wayfair Tools Order,Home & Garden,Tools,Wayfair,452.69,289.27,264,36.1
55,Simon & Schuster Children Serious,Books,Children,Simon & Schuster,44.18,23.92,121,45.86
56,Dell Tablets Else,Electronics,Tablets,Dell,301.19,197.76,262,34.34
57,Adidas Pants However,Clothing,Pants,Adidas,294.15,180.49,188,38.64
58,Sony Cameras Ball,Electronics,Cameras,Sony,1597.5,773.47,202,51.58
59,Random House Fiction Do,Books,Fiction,Random House,15.38,9.91,447,35.57
60,H&M Shirts Return,Clothing,Shirts,H&M,50.28,27.75,475,44.81
61,Sony Laptops Program,Electronics,Laptops,Sony,449.86,267.09,55,40.63
62,Adidas Pants Again,Clothing,Pants,Adidas,194.21,111.78,331,42.44
63,Levi's Pants Attention,Clothing,Pants,Levi's,105.15,56.25,43,46.5
64,Wayfair Bedding Fight,Home & Garden,Bedding,Wayfair,318.39,135.07,435,57.58
65,Puma Team Sports Forget,Sports,Team Sports,Puma,384.06,227.92,224,40.66
66,Gap Accessories Surface,Clothing,Accessories,Gap,91.93,41.6,97,54.75
67,IKEA Bedding Involve,Home & Garden,Bedding,IKEA,263.12,144.29,337,45.16
68,Pottery Barn Furniture Eye,Home & Garden,Furniture,Pottery Barn,426.08,245.69,470,42.34
69,Puma Water Sports Street,Sports,Water Sports,Puma,314.16,164.47,107,47.65
70,Penguin Comics Box,Books,Comics,Penguin,19.2,7.71,141,59.84
71,Wilson Fitness Pretty,Sports,Fitness,Wilson,433.05,183.19,337,57.7
72,Adidas Shoes Meet,Clothing,Shoes,Adidas,200.04,107.93,1,46.05
73,Levi's Shoes Coach,Clothing,Shoes,Levi's,136.05,58.77,22,56.8
74,Gap Shirts See,Clothing,Shirts,Gap,84.42,40.25,467,52.32
75,Wayfair Kitchen Organization,Home & Garden,Kitchen,Wayfair,177.87,119.41,219,32.87
76,Levi's Shoes Theory,Clothing,Shoes,Levi's,194.25,116.26,458,40.15
77,Nike Dresses Realize,Clothing,Dresses,Nike,285.77,185.1,418,35.23
78,Zara Dresses Fight,Clothing,Dresses,Zara,118.02,56.43,223,52.19
79,LG Headphones Avoid,Electronics,Headphones,LG,113.62,77.69,128,31.62
80,West Elm Tools Really,Home & Garden,Tools,West Elm,343.96,223.34,193,35.07
81,Zara Accessories Art,Clothing,Accessories,Zara,228.37,152.8,74,33.09
82,Gap Pants Development,Clothing,Pants,Gap,45.92,28.31,469,38.35
83,Sony Tablets Late,Electronics,Tablets,Sony,359.58,243.36,121,32.32
84,H&M Dresses Mind,Clothing,Dresses,H&M,108.75,66.48,419,38.87
85,Nikon Cameras Generation,Electronics,Cameras,Nikon,635.44,330.47,94,47.99
86,Adidas Team Sports Nice,Sports,Team Sports,Adidas,438.28,264.51,260,39.65
87,IKEA Kitchen Address,Home & Garden,Kitchen,IKEA,164.71,95.35,262,42.11
88,Pottery Barn Tools Impact,Home & Garden,Tools,Pottery Barn,715.87,412.65,312,42.36
89,Adidas Fitness Out,Sports,Fitness,Adidas,265.33,123.83,330,53.33
90,Uniqlo Dresses Statement,Clothing,Dresses,Uniqlo,265.54,160.07,152,39.72
91,West Elm Bedding Service,Home & Garden,Bedding,West Elm,550.33,378.67,334,31.19
92,Uniqlo Accessories Doctor,Clothing,Accessories,Uniqlo,166.11,76.09,265,54.19
93,HarperCollins Non-Fiction Class,Books,Non-Fiction,HarperCollins,11.68,7.85,251,32.79
94,Wayfair Tools Security,Home & Garden,Tools,Wayfair,466.18,207.36,56,55.52
95,LG Tablets Show,Electronics,Tablets,LG,582.19,233.3,108,59.93
96,H&M Shoes Sport,Clothing,Shoes,H&M,243.66,166.55,341,31.65
97,Puma Water Sports Spring,Sports,Water Sports,Puma,393.27,225.08,51,42.77
98,Random House Fiction Several,Books,Fiction,Random House,28.45,14.03,164,50.69
99,Samsung Smartphones Need,Electronics,Smartphones,Samsung,1511.42,849.12,260,43.82
100,Adidas Pants Wait,Clothing,Pants,Adidas,145.82,76.8,423,47.33
101,Simon & Schuster Non-Fiction Perhaps,Books,Non-Fiction,Simon & Schuster,14.33,6.81,347,52.48
102,HarperCollins Comics Exactly,Books,Comics,HarperCollins,13.64,5.66,148,58.5
103,Nike Dresses Among,Clothing,Dresses,Nike,94.95,63.94,82,32.66
104,Adidas Pants Avoid,Clothing,Pants,Adidas,104.06,58.21,419,44.06
105,Wayfair Furniture Benefit,Home & Garden,Furniture,Wayfair,660.76,461.77,396,30.12
106,Canon Cameras Loss,Electronics,Cameras,Canon,907.95,491.26,258,45.89
107,H&M Dresses Bank,Clothing,Dresses,H&M,235.31,142.73,390,39.34
108,Dell Headphones There,Electronics,Headphones,Dell,967.65,448.43,270,53.66
109,Wayfair Bedding Customer,Home & Garden,Bedding,Wayfair,593.14,413.3,205,30.32
110,Wilson Fitness Usually,Sports,Fitness,Wilson,176.37,92.24,458,47.7
111,West Elm Bedding Along,Home & Garden,Bedding,West Elm,721.28,400.91,378,44.42
112,H&M Shirts Social,Clothing,Shirts,H&M,286.86,151.18,299,47.3
113,Penguin Children Energy,Books,Children,Penguin,31.15,19.51,484,37.37
114,Puma Winter Sports Seat,Sports,Winter Sports,Puma,201.26,118.79,20,40.98
115,IKEA Tools Memory,Home & Garden,Tools,IKEA,337.34,180.27,389,46.56
116,Nikon Laptops Ahead,Electronics,Laptops,Nikon,1497.72,1025.48,5,31.53
117,Adidas Winter Sports Present,Sports,Winter Sports,Adidas,146.59,87.69,351,40.18
118,Gap Pants Machine,Clothing,Pants,Gap,283.75,131.9,127,53.52
119,Random House Fiction Blood,Books,Fiction,Random House,16.4,6.63,286,59.57
120,Nikon Cameras Newspaper,Electronics,Cameras,Nikon,1238.53,632.09,113,48.96
121,Pottery Barn Tools Everything,Home & Garden,Tools,Pottery Barn,612.8,253.87,195,58.57
122,Nikon Headphones Its,Electronics,Headphones,Nikon,1179.92,791.33,450,32.93
123,Levi's Shirts These,Clothing,Shirts,Levi's,38.17,22.44,441,41.21
124,Samsung Headphones Low,Electronics,Headphones,Samsung,1145.28,661.9,350,42.21
125,IKEA Tools Perhaps,Home & Garden,Tools,IKEA,53.71,33.14,456,38.3
126,Wilson Winter Sports Art,Sports,Winter Sports,Wilson,206.73,102.9,210,50.22
127,Adidas Shirts Old,Clothing,Shirts,Adidas,190.13,84.81,303,55.39
128,Nike Winter Sports Make,Sports,Winter Sports,Nike,114.62,65.41,244,42.93
129,West Elm Tools Maybe,Home & Garden,Tools,West Elm,262.42,145.31,411,44.63
130,Random House Comics Successful,Books,Comics,Random House,40.46,28.17,68,30.38
131,Wayfair Furniture Save,Home & Garden,Furniture,Wayfair,49.1,25.29,436,48.49
132,Adidas Water Sports East,Sports,Water Sports,Adidas,339.04,140.09,150,58.68
133,Penguin Educational Maybe,Books,Educational,Penguin,27.29,16.38,423,39.98
134,Wayfair Furniture Direction,Home & Garden,Furniture,Wayfair,339.11,213.46,261,37.05
135,Reebok Outdoor Public,Sports,Outdoor,Reebok,424.94,171.3,150,59.69
136,Nike Dresses Born,Clothing,Dresses,Nike,204.13,132.76,300,34.96
137,Wayfair Kitchen Keep,Home & Garden,Kitchen,Wayfair,437.41,289.94,81,33.71
138,Wayfair Kitchen Suffer,Home & Garden,Kitchen,Wayfair,483.0,242.95,475,49.7
139,Wayfair Tools Own,Home & Garden,Tools,Wayfair,274.38,189.0,474,31.12
140,Canon Tablets Study,Electronics,Tablets,Canon,1967.01,1128.86,294,42.61
141,Penguin Fiction Character,Books,Fiction,Penguin,25.07,16.77,68,33.11
142,Pottery Barn Furniture Line,Home & Garden,Furniture,Pottery Barn,501.48,266.54,334,46.85
143,Under Armour Water Sports Hair,Sports,Water Sports,Under Armour,178.83,105.68,431,40.9
144,Simon & Schuster Non-Fiction Poor,Books,Non-Fiction,Simon & Schuster,32.54,14.12,246,56.61
145,Wayfair Tools Condition,Home & Garden,Tools,Wayfair,246.87,143.5,482,41.87
146,Zara Pants Military,Clothing,Pants,Zara,214.38,143.16,188,33.22
147,Uniqlo Pants For,Clothing,Pants,Uniqlo,192.24,79.63,51,58.58
148,Wayfair Tools Job,Home & Garden,Tools,Wayfair,395.82,184.92,337,53.28
149,Penguin Fiction With,Books,Fiction,Penguin,15.27,9.15,64,40.08
150,Gap Shoes Anyone,Clothing,Shoes,Gap,75.35,42.54,497,43.54
151,IKEA Bedding Become,Home & Garden,Bedding,IKEA,764.78,338.56,190,55.73
152,Simon & Schuster Comics Animal,Books,Comics,Simon & Schuster,12.34,5.46,360,55.75
153,Nike Dresses Admit,Clothing,Dresses,Nike,206.01,90.48,346,56.08
154,Apple Laptops Instead,Electronics,Laptops,Apple,1179.19,553.71,356,53.04
155,Samsung Smartphones Public,Electronics,Smartphones,Samsung,661.78,352.58,258,46.72
156,Apple Tablets Politics,Electronics,Tablets,Apple,323.56,215.48,316,33.4
157,LG Smartphones Which,Electronics,Smartphones,LG,1153.35,569.52,314,50.62
158,Zara Dresses Reach,Clothing,Dresses,Zara,276.72,181.32,331,34.48
159,Puma Team Sports Teacher,Sports,Team Sports,Puma,259.41,112.75,267,56.54
160,Dell Cameras Level,Electronics,Cameras,Dell,1732.21,896.99,304,48.22
161,Under Armour Team Sports Many,Sports,Team Sports,Under Armour,404.65,178.05,78,56.0
162,West Elm Decor Final,Home & Garden,Decor,West Elm,360.22,226.05,277,37.25
163,IKEA Kitchen Approach,Home & Garden,Kitchen,IKEA,459.58,218.84,240,52.38
164,Gap Pants Ability,Clothing,Pants,Gap,38.24,20.28,219,46.97
165,Nike Water Sports Phone,Sports,Water Sports,Nike,115.61,76.87,267,33.51
166,Puma Outdoor Risk,Sports,Outdoor,Puma,207.14,102.33,393,50.6
167,Adidas Dresses Maintain,Clothing,Dresses,Adidas,99.05,53.93,227,45.55
168,HP Headphones Around,Electronics,Headphones,HP,1980.29,1033.84,402,47.79
169,Random House Children At,Books,Children,Random House,36.1,21.07,149,41.63
170,Under Armour Outdoor Must,Sports,Outdoor,Under Armour,152.87,81.72,39,46.54
171,Apple Laptops Dinner,Electronics,Laptops,Apple,871.32,567.99,36,34.81
172,Uniqlo Accessories Cause,Clothing,Accessories,Uniqlo,182.71,100.82,467,44.82
173,H&M Pants Hospital,Clothing,Pants,H&M,47.86,30.96,192,35.31
174,Nikon Cameras Professional,Electronics,Cameras,Nikon,1382.01,793.49,354,42.58
175,Levi's Shoes Republican,Clothing,Shoes,Levi's,94.62,59.49,288,37.13
176,West Elm Bedding Risk,Home & Garden,Bedding,West Elm,91.3,52.81,188,42.16
177,Puma Team Sports Stay,Sports,Team Sports,Puma,200.72,107.32,123,46.53
178,Reebok Fitness Information,Sports,Fitness,Reebok,245.59,158.47,245,35.47
179,Gap Shoes I,Clothing,Shoes,Gap,240.02,117.34,498,51.11
180,HarperCollins Non-Fiction Six,Books,Non-Fiction,HarperCollins,27.76,15.13,151,45.5
181,IKEA Tools Trial,Home & Garden,Tools,IKEA,613.72,317.89,433,48.2
182,Simon & Schuster Non-Fiction Away,Books,Non-Fiction,Simon & Schuster,21.1,11.75,243,44.31
183,Puma Water Sports Off,Sports,Water Sports,Puma,170.9,114.76,222,32.85
184,Canon Headphones Across,Electronics,Headphones,Canon,208.32,122.52,136,41.19
185,Nike Outdoor Huge,Sports,Outdoor,Nike,349.58,167.36,9,52.13
186,Home Depot Decor Between,Home & Garden,Decor,Home Depot,195.92,137.06,334,30.04
187,Adidas Winter Sports About,Sports,Winter Sports,Adidas,111.76,65.15,70,41.71
188,Puma Winter Sports New,Sports,Winter Sports,Puma,79.7,41.87,14,47.47
189,Simon & Schuster Educational Whether,Books,Educational,Simon & Schuster,16.62,8.66,307,47.89
190,Wayfair Decor Ground,Home & Garden,Decor,Wayfair,756.29,466.54,156,38.31
191,Dell Laptops Stop,Electronics,Laptops,Dell,1584.57,893.39,331,43.62
192,Penguin Educational Either,Books,Educational,Penguin,14.47,7.78,20,46.23
193,Sony Smartphones Talk,Electronics,Smartphones,Sony,681.62,377.77,302,44.58
194,Adidas Shirts Long,Clothing,Shirts,Adidas,115.08,57.61,170,49.94
195,Gap Pants Amount,Clothing,Pants,Gap,121.21,62.92,109,48.09
196,Puma Team Sports According,Sports,Team Sports,Puma,405.0,275.7,227,31.93
197,Random House Non-Fiction Money,Books,Non-Fiction,Random House,32.82,20.57,231,37.32
198,IKEA Furniture Assume,Home & Garden,Furniture,IKEA,777.98,330.72,7,57.49
199,Penguin Non-Fiction Themselves,Books,Non-Fiction,Penguin,25.72,16.86,259,34.45
200,Puma Outdoor Against,Sports,Outdoor,Puma,378.2,189.75,280,49.83
201,Adidas Outdoor Black,Sports,Outdoor,Adidas,253.61,135.73,433,46.48
202,Sony Cameras According,Electronics,Cameras,Sony,287.44,189.59,102,34.04
203,LG Cameras Wide,Electronics,Cameras,LG,1374.3,799.95,14,41.79
204,HarperCollins Non-Fiction Citizen,Books,Non-Fiction,HarperCollins,42.87,18.72,110,56.33
205,Penguin Fiction Social,Books,Fiction,Penguin,20.15,13.32,373,33.9
206,Reebok Team Sports Challenge,Sports,Team Sports,Reebok,188.26,108.85,438,42.18
207,HarperCollins Non-Fiction Cause,Books,Non-Fiction,HarperCollins,27.75,11.82,38,57.41
208,Wilson Team Sports Share,Sports,Team Sports,Wilson,97.0,57.63,433,40.59
209,Puma Team Sports But,Sports,Team Sports,Puma,263.27,107.15,166,59.3
210,Random House Educational Condition,Books,Educational,Random House,36.55,19.16,62,47.58
211,HarperCollins Children Scientist,Books,Children,HarperCollins,37.15,20.13,364,45.81
212,LG Cameras Individual,Electronics,Cameras,LG,1529.88,733.94,297,52.03
213,Nikon Cameras Opportunity,Electronics,Cameras,Nikon,302.03,149.66,378,50.45
214,Levi's Dresses Them,Clothing,Dresses,Levi's,269.55,159.24,242,40.92
215,Pottery Barn Tools Discover,Home & Garden,Tools,Pottery Barn,725.74,342.33,484,52.83
216,HP Tablets Tv,Electronics,Tablets,HP,1582.28,785.46,413,50.36
217,Uniqlo Shirts Yet,Clothing,Shirts,Uniqlo,39.61,25.25,441,36.25
218,HarperCollins Non-Fiction Positive,Books,Non-Fiction,HarperCollins,21.08,11.37,411,46.06
219,Uniqlo Pants Analysis,Clothing,Pants,Uniqlo,60.63,36.97,189,39.02
220,Simon & Schuster Comics From,Books,Comics,Simon & Schuster,37.78,23.81,441,36.98
221,Nikon Smartphones Big,Electronics,Smartphones,Nikon,1653.78,911.88,190,44.86
222,West Elm Decor Through,Home & Garden,Decor,West Elm,340.29,137.8,378,59.51
223,Sony Laptops Skill,Electronics,Laptops,Sony,1181.82,498.95,385,57.78
224,Penguin Children Also,Books,Children,Penguin,34.35,23.53,265,31.5
225,IKEA Tools Campaign,Home & Garden,Tools,IKEA,260.08,171.0,404,34.25
226,Adidas Team Sports Win,Sports,Team Sports,Adidas,402.69,255.52,281,36.55
227,Home Depot Bedding There,Home & Garden,Bedding,Home Depot,762.36,322.56,269,57.69
228,Apple Cameras Ball,Electronics,Cameras,Apple,1508.88,1052.71,495,30.23
229,Gap Pants Sort,Clothing,Pants,Gap,68.25,29.67,258,56.53
230,Levi's Shirts Who,Clothing,Shirts,Levi's,65.99,31.08,8,52.9
231,Reebok Winter Sports Walk,Sports,Winter Sports,Reebok,411.13,179.05,171,56.45
232,Canon Smartphones Office,Electronics,Smartphones,Canon,921.49,571.51,36,37.98
233,Simon & Schuster Children When,Books,Children,Simon & Schuster,47.12,22.54,358,52.16
234,Simon & Schuster Educational Author,Books,Educational,Simon & Schuster,17.19,11.88,340,30.89
235,Nike Team Sports Similar,Sports,Team Sports,Nike,492.62,279.36,86,43.29
236,H&M Accessories Human,Clothing,Accessories,H&M,186.43,78.48,96,57.9
237,H&M Pants Others,Clothing,Pants,H&M,24.45,13.72,161,43.89
238,Wayfair Furniture Deal,Home & Garden,Furniture,Wayfair,340.12,143.8,481,57.72
239,Penguin Comics Strategy,Books,Comics,Penguin,22.46,9.8,188,56.37
240,Puma Team Sports Exist,Sports,Team Sports,Puma,296.77,169.41,446,42.92
241,HarperCollins Comics She,Books,Comics,HarperCollins,39.81,17.44,261,56.19
242,Home Depot Decor Per,Home & Garden,Decor,Home Depot,343.66,209.52,273,39.03
243,Simon & Schuster Educational Brother,Books,Educational,Simon & Schuster,20.98,13.92,24,33.65
244,Simon & Schuster Educational Accept,Books,Educational,Simon & Schuster,27.52,13.55,338,50.76
245,Nike Fitness Stay,Sports,Fitness,Nike,102.08,68.16,486,33.23
246,LG Headphones Idea,Electronics,Headphones,LG,1723.09,1070.08,448,37.9
247,Apple Smartphones Whole,Electronics,Smartphones,Apple,1741.91,870.59,174,50.02
248,H&M Shirts Major,Clothing,Shirts,H&M,214.4,92.95,236,56.65
249,IKEA Kitchen Least,Home & Garden,Kitchen,IKEA,518.22,247.24,154,52.29
250,Under Armour Fitness Power,Sports,Fitness,Under Armour,28.97,12.55,493,56.68
251,Uniqlo Dresses National,Clothing,Dresses,Uniqlo,105.68,46.31,175,56.18
252,Random House Non-Fiction Wear,Books,Non-Fiction,Random House,37.12,18.15,392,51.1
